pr_id,repository_name,title_length,description_length,files_changed,lines_added,lines_deleted,time_to_merge,num_commits,is_bug_fix,num_comments,num_reviewers,merge_status,author_experience,author_tenure,author_contributions,review_time,num_approvals,review_sentiment_score,security_issues,code_quality_issues,code_quality_rate
26061,opencv,41,1040,2,20,2,6.654166666666667,2,False,1,1,True,1,0.0,,6.121111111111111,1,-0.022727272727272728,"Checking C:\Users\user\AppData\Local\Temp\tmpp5sdbk2d.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpp5sdbk2d.cpp: HAVE_OPENCL...

Checking C:\Users\user\AppData\Local\Temp\tmpjorspjun.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpjorspjun.cpp: CV_AVX2...
Checking C:\Users\user\AppData\Local\Temp\tmpjorspjun.cpp: HAVE_IPP...
Checking C:\Users\user\AppData\Local\Temp\tmpjorspjun.cpp: HAVE_OPENCL...
Checking C:\Users\user\AppData\Local\Temp\tmpjorspjun.cpp: __EMSCRIPTEN__...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26059,opencv,28,849,1,11,5,21.756666666666668,2,True,0,1,True,22,70.43333333333334,,21.738888888888887,1,0,"Checking C:\Users\user\AppData\Local\Temp\tmp0w_cn6gj.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmp0w_cn6gj.cpp: HAVE_DNN_NGRAPH...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26058,opencv,29,812,1,1,1,,1,True,0,1,False,22,70.43333333333334,,0.6925,0,0,"Checking C:\Users\user\AppData\Local\Temp\tmpwm6o8ae1.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpwm6o8ae1.cpp: HAVE_DNN_NGRAPH...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26054,opencv,61,845,1,12,27,42.40222222222222,1,False,2,2,True,1607,144.4,,85.51305555555555,1,0,"Checking C:\Users\user\AppData\Local\Temp\tmp5t3mzp6m.cpp ...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",medium
26052,opencv,26,796,1,6,2,5.4591666666666665,1,False,0,1,True,128,117.46666666666667,,5.441666666666666,1,0,"Checking C:\Users\user\AppData\Local\Temp\tmp24osamtz.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmp24osamtz.cpp: MSVC_OLD=0...
Checking C:\Users\user\AppData\Local\Temp\tmp24osamtz.cpp: _MSC_VER...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26051,opencv,26,789,1,12,2,,1,False,0,0,False,128,117.46666666666667,,0,0,0,"Checking C:\Users\user\AppData\Local\Temp\tmpgq6899gi.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpgq6899gi.cpp: MSVC_OLD=0...
Checking C:\Users\user\AppData\Local\Temp\tmpgq6899gi.cpp: _MSC_VER...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26046,opencv,38,366,1,4,2,2.575277777777778,1,False,2,1,True,0,144.06666666666666,,2.5716666666666668,1,0.7666666666666666,"Checking C:\Users\user\AppData\Local\Temp\tmpd0cxensk.cpp ...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26045,opencv,51,772,1,2,0,16.628888888888888,1,True,0,1,True,1607,144.33333333333334,,16.128611111111113,1,0,"Checking C:\Users\user\AppData\Local\Temp\tmpn2i4ecam.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpn2i4ecam.cpp: HAVE_DSHOW;_WIN32...
Checking C:\Users\user\AppData\Local\Temp\tmpn2i4ecam.cpp: HAVE_DSHOW;_WIN32;_DEBUG...
Checking C:\Users\user\AppData\Local\Temp\tmpn2i4ecam.cpp: HAVE_DSHOW;_WIN32;__GNUC__...
Checking C:\Users\user\AppData\Local\Temp\tmpn2i4ecam.cpp: HAVE_DSHOW;_WIN32;__MINGW32__...
Checking C:\Users\user\AppData\Local\Temp\tmpn2i4ecam.cpp: HAVE_DSHOW;_WIN32;__clang__...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26039,opencv,70,813,1,2,3,,1,False,2,0,False,9,147.7,,0,0,-0.1,"Checking C:\Users\user\AppData\Local\Temp\tmp5jd5efs8.cpp ...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",best
26034,opencv,62,734,1,2,5,80.54277777777777,1,False,0,1,True,3,82.13333333333334,,80.53972222222222,1,0,"Checking C:\Users\user\AppData\Local\Temp\tmpffer4yyt.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpffer4yyt.cpp: HAVE_DSHOW;_WIN32...
Checking C:\Users\user\AppData\Local\Temp\tmpffer4yyt.cpp: HAVE_DSHOW;_WIN32;_DEBUG...
Checking C:\Users\user\AppData\Local\Temp\tmpffer4yyt.cpp: HAVE_DSHOW;_WIN32;__GNUC__...
Checking C:\Users\user\AppData\Local\Temp\tmpffer4yyt.cpp: HAVE_DSHOW;_WIN32;__MINGW32__...
Checking C:\Users\user\AppData\Local\Temp\tmpffer4yyt.cpp: HAVE_DSHOW;_WIN32;__clang__...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26014,opencv,84,2971,1,31,31,313.6647222222222,4,False,0,1,True,24,91.2,,313.64472222222224,1,0,"Checking C:\Users\user\AppData\Local\Temp\tmp9re4tzsy.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmp9re4tzsy.cpp: DEBUG_CHESSBOARD...
Checking C:\Users\user\AppData\Local\Temp\tmp9re4tzsy.cpp: DEBUG_CHESSBOARD;ENABLE_TRIM_COL_ROW...
Checking C:\Users\user\AppData\Local\Temp\tmp9re4tzsy.cpp: ENABLE_TRIM_COL_ROW...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
26004,opencv,21,788,1,3,3,3.1369444444444445,1,True,1,1,True,2,144.06666666666666,,2.479722222222222,1,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp ...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: CV_SIMD128...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: HAVE_CANN...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: HAVE_CUDA...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: HAVE_DNN_NGRAPH...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: HAVE_HALIDE...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: HAVE_INF_ENGINE...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: HAVE_OPENCL...
Checking C:\Users\user\AppData\Local\Temp\tmpgjratjpy.cpp: HAVE_WEBNN...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",worst
26003,opencv,27,717,1,5,1,,1,False,4,2,False,2,144.06666666666666,,41.58472222222222,0,0.0,"Checking C:\Users\user\AppData\Local\Temp\tmpiiiilu7u.cpp ...
","N
o
 
m
a
j
o
r
 
c
o
d
e
 
q
u
a
l
i
t
y
 
i
s
s
u
e
s
 
f
o
u
n
d
.",not bad
